Room,Location,Side,Description
157,1st Floor,Abylai Khan Street,General Purpose Room
158,1st Floor,Abylai Khan Street,General Purpose Room
159,1st Floor,Abylai Khan Street,General Purpose Room
160,1st Floor,Abylai Khan Street,General Purpose Room
161,1st Floor,Abylai Khan Street,General Purpose Room
164,1st Floor,Abylai Khan Street,General Purpose Room
125,1st Floor,Panfilov Street,General Purpose Room
124,1st Floor,Panfilov Street,General Purpose Room
122,1st Floor,Panfilov Street,General Purpose Room
120,1st Floor,Panfilov Street,General Purpose Room
118,1st Floor,Panfilov Street,General Purpose Room
117,1st Floor,Panfilov Street,General Purpose Room
116,1st Floor,Panfilov Street,General Purpose Room
114,1st Floor,Panfilov Street,General Purpose Room
112,1st Floor,Panfilov Street,General Purpose Room
110,1st Floor,Panfilov Street,General Purpose Room
108,1st Floor,Panfilov Street,General Purpose Room
106,1st Floor,Panfilov Street,General Purpose Room
146,1st Floor,Tole Bi Street,General Purpose Room
155,1st Floor,Tole Bi Street,Garden of Knowledge
153,1st Floor,Tole Bi Street,Co-working and Amphitheater
284,2nd Floor,Abylai Khan Street,General Purpose Room
283,2nd Floor,Abylai Khan Street,General Purpose Room
280,2nd Floor,Abylai Khan Street,General Purpose Room
275,2nd Floor,Abylai Khan Street,General Purpose Room
252,2nd Floor,Tole Bi Street,General Purpose Room
259,2nd Floor,Tole Bi Street,Independence Hall
263,2nd Floor,Tole Bi Street,General Purpose Room
204,2nd Floor,Panfilov Street,General Purpose Room
233,2nd Floor,Panfilov Street,General Purpose Room
389,3rd Floor,Abylai Khan Street,General Purpose Room
378,3rd Floor,Abylai Khan Street,General Purpose Room
349,3rd Floor,Tole Bi Street,General Purpose Room
358,3rd Floor,Tole Bi Street,General Purpose Room
357,3rd Floor,Tole Bi Street,General Purpose Room
300,3rd Floor,Panfilov Street,General Purpose Room
311,3rd Floor,Panfilov Street,General Purpose Room
428,4th Floor,Kazhybek Bi Street,General Purpose Room
432,4th Floor,Kazhybek Bi Street,General Purpose Room
444,4th Floor,Abylai Khan Street,General Purpose Room
446,4th Floor,Abylai Khan Street,General Purpose Room
471,4th Floor,Tole Bi Street,General Purpose Room
473,4th Floor,Tole Bi Street,General Purpose Room
